product_id,product_name,total_orders,item_price_inrupees,price_usd,total_revenue_usd
2,MacBook Pro,448,124999.99,1506.0239759036144,674698.74
3,Playstation 5,469,30000.0,361.4457831325301,169518.07
4,Bolt Headphones,449,1200.99,14.469759036144579,6496.92
5,Computer Chairs,448,5999.99,72.2890361445783,32385.49
6,Gaming Mouse,431,799.99,9.63843373493976,4154.16
21,Colour Pencils,457,100.0,1.2048192771084338,550.6
22,Apple Ipad,445,38999.99,469.8793975903614,209096.33
23,Wireless Keyboard,416,2617.29,31.533614457831323,13117.98
50,32 inch Outdoor Fire Pit & BBQ Pit w/ Accessories,460,16649.57,200.59722891566264,92274.73
51,2TB Samsung 980 PRO M.2 PCIe Gen 4 x4 NVMe Internal Solid State Drive,489,10658.18,128.41180722891568,62793.37
52,64GB Nintendo Switch OLED Console (White),448,29143.45,351.12590361445785,157304.4
53,2-Count 5-52.5 lbs. FitRx Smart Bell Quick Select Adjustable Dumbbell (Black),415,33306.8,401.28674698795186,166534.0
54,eufy Clean RoboVac L50 SES Vacuum Cleaner,477,41633.5,501.60843373493975,239267.22
55,Logitech G305 Lightspeed Wireless Gaming Mouse (Various Colors),502,4163.35,50.16084337349398,25180.74
56,120-Piece DeWALT Maxfit Ultra Steel Drill/Driving Bit Set w/ Storage Case,462,2498.01,30.09650602409639,13904.59
57,Apple AirPods Bluetooth Earbuds w/ Lightning Charging Case (2nd Gen),434,9992.04,120.38602409638555,52247.53
58,2-Pack Govee 15 inch Wi-Fi RGBIC Smart TV Light Bars,439,5828.69,70.22518072289157,30828.85
59,Thule Arcos Exterior Platform Hard Shell Cargo Box Carrier,470,108247.1,1304.1819277108434,612965.51
60,Timex Men's Expedition Scout 40mm Fabric Strap Watch w/ Blue Dial,485,1915.14,23.07397590361446,11190.88
61,Galanz 3.3 cu. ft. Retro Compact Refrigerator (Red),460,19068.14,229.7366265060241,105678.85
62,"Govee Bluetooth RGB LED Light Strips: 66.5' $14, 100'",367,2081.68,25.080481927710842,9204.54
63,Dyson V8 Cordless Stick Origin Vacuum,411,35804.81,431.38325301204816,177298.52
64,8 inch MIYABI Mizu SG2 Micro-Carbide Powder Stainless Steel Chef's Knife,470,18235.47,219.70445783132533,103261.1
65,Huanuo Dual Monitor Adjustable Spring Stand Monitor Mount (13inch - 27inch Monitors),459,4996.02,60.19301204819278,27628.59
66,Arcade1up Marvel vs Capcom Head-to-Head Arcade Table,486,58286.9,702.2518072289157,341294.38
67,Winix C909 4-Stage Air Purifier,482,16653.4,200.64337349397593,96710.11
68,Lasko Ceramic Mini Tower Heater,473,1748.61,21.06759036144578,9964.97
69,700c Giordano Duetto Tandem Bike,445,70776.95,852.7343373493976,379466.78
70,JBL Bar 2.0 All-in-One Compact Soundbar,452,16653.4,200.64337349397593,90690.8
71,Lisen 15W Wireless MagSafe Phone Car Vent Mount Charger,457,3330.68,40.12867469879518,18338.8
72,40-Piece LEGO Super Heroes Batman 1992 Building Toy Set,471,832.67,10.032168674698795,4725.15
73,"Yankee Candle Red Apple Wreath Scented, Classic 22oz Large Jar Single Wick Candle",455,1249.01,15.048313253012049,6846.98
74,1.32-Lb Optimum Nutrition Micronized Creatine Monohydrate Powder (Unflavored),472,2747.81,33.106144578313256,15626.1
