product_id,product_name,total_orders,price_usd,total_revenue_usd,actual_revenue_usd,revenue_difference
2,MacBook Pro,448,1506.0239759036144,674698.74,367469.85,307228.89
3,Playstation 5,469,361.4457831325301,169518.07,91084.34,78433.73
4,Bolt Headphones,449,14.469759036144579,6496.92,3284.64,3212.28
5,Computer Chairs,448,72.2890361445783,32385.49,15325.28,17060.21
6,Gaming Mouse,431,9.63843373493976,4154.16,2024.07,2130.09
21,Colour Pencils,457,1.2048192771084338,550.6,281.93,268.67
22,Apple Ipad,445,469.8793975903614,209096.33,108542.14,100554.19
23,Wireless Keyboard,416,31.533614457831323,13117.98,7032.0,6085.98
50,32 inch Outdoor Fire Pit & BBQ Pit w/ Accessories,460,200.59722891566264,92274.73,42727.21,49547.52
51,2TB Samsung 980 PRO M.2 PCIe Gen 4 x4 NVMe Internal Solid State Drive,489,128.41180722891568,62793.37,29021.07,33772.3
52,64GB Nintendo Switch OLED Console (White),448,351.12590361445785,157304.4,74438.69,82865.71
53,2-Count 5-52.5 lbs. FitRx Smart Bell Quick Select Adjustable Dumbbell (Black),415,401.28674698795186,166534.0,93098.53,73435.47
54,eufy Clean RoboVac L50 SES Vacuum Cleaner,477,501.60843373493975,239267.22,121389.24,117877.98
55,Logitech G305 Lightspeed Wireless Gaming Mouse (Various Colors),502,50.16084337349398,25180.74,13192.3,11988.44
56,120-Piece DeWALT Maxfit Ultra Steel Drill/Driving Bit Set w/ Storage Case,462,30.09650602409639,13904.59,6561.04,7343.55
57,Apple AirPods Bluetooth Earbuds w/ Lightning Charging Case (2nd Gen),434,120.38602409638555,52247.53,27929.56,24317.97
58,2-Pack Govee 15 inch Wi-Fi RGBIC Smart TV Light Bars,439,70.22518072289157,30828.85,14817.51,16011.34
59,Thule Arcos Exterior Platform Hard Shell Cargo Box Carrier,470,1304.1819277108434,612965.51,289528.39,323437.12
60,Timex Men's Expedition Scout 40mm Fabric Strap Watch w/ Blue Dial,485,23.07397590361446,11190.88,5653.12,5537.76
61,Galanz 3.3 cu. ft. Retro Compact Refrigerator (Red),460,229.7366265060241,105678.85,56285.47,49393.38
62,"Govee Bluetooth RGB LED Light Strips: 66.5' $14, 100'",367,25.080481927710842,9204.54,4213.52,4991.02
63,Dyson V8 Cordless Stick Origin Vacuum,411,431.38325301204816,177298.52,100080.91,77217.61
64,8 inch MIYABI Mizu SG2 Micro-Carbide Powder Stainless Steel Chef's Knife,470,219.70445783132533,103261.1,53827.59,49433.51
65,Huanuo Dual Monitor Adjustable Spring Stand Monitor Mount (13inch - 27inch Monitors),459,60.19301204819278,27628.59,13302.66,14325.93
66,Arcade1up Marvel vs Capcom Head-to-Head Arcade Table,486,702.2518072289157,341294.38,165029.17,176265.21
67,Winix C909 4-Stage Air Purifier,482,200.64337349397593,96710.11,48555.7,48154.41
68,Lasko Ceramic Mini Tower Heater,473,21.06759036144578,9964.97,5140.49,4824.48
69,700c Giordano Duetto Tandem Bike,445,852.7343373493976,379466.78,190159.76,189307.02
70,JBL Bar 2.0 All-in-One Compact Soundbar,452,200.64337349397593,90690.8,42335.75,48355.05
71,Lisen 15W Wireless MagSafe Phone Car Vent Mount Charger,457,40.12867469879518,18338.8,9430.24,8908.56
72,40-Piece LEGO Super Heroes Batman 1992 Building Toy Set,471,10.032168674698795,4725.15,2337.5,2387.65
73,"Yankee Candle Red Apple Wreath Scented, Classic 22oz Large Jar Single Wick Candle",455,15.048313253012049,6846.98,3250.44,3596.54
74,1.32-Lb Optimum Nutrition Micronized Creatine Monohydrate Powder (Unflavored),472,33.106144578313256,15626.1,7217.14,8408.96
